date,close
2022-05-31,318.845
2022-06-01,297.932
2022-06-02,306.124
2022-06-03,298.84
2022-06-04,300.072
2022-06-05,300.417
2022-06-06,297.147
2022-06-07,291.863
2022-06-08,289.612
2022-06-09,289.457
2022-06-10,285.934
2022-06-11,271.093
2022-06-12,261.378
2022-06-13,224.587
2022-06-14,215.941
2022-06-15,225.961
2022-06-16,215.719
2022-06-17,215.541
2022-06-18,193.786
2022-06-19,213.223
2022-06-20,214.064
2022-06-21,221.156
2022-06-22,215.584
2022-06-23,226.174
2022-06-24,240.412
2022-06-25,239.332
2022-06-26,238.752
2022-06-27,233.592
2022-06-28,232.411
2022-06-29,221.032
2022-06-30,211.146
2022-07-01,217.76
2022-07-02,219.037
2022-07-03,218.815
2022-07-04,228.426
2022-07-05,232.044
2022-07-06,237.838
2022-07-07,242.255
2022-07-08,241.455
2022-07-09,243.454
2022-07-10,234.559
2022-07-11,228.894
2022-07-12,221.878
2022-07-13,226.096
2022-07-14,237.357
2022-07-15,239.528
2022-07-16,249.025
2022-07-17,250.235
2022-07-18,257.441
2022-07-19,271.343
2022-07-20,262.513
2022-07-21,265.166
2022-07-22,263.758
2022-07-23,255.449
2022-07-24,264.553
2022-07-25,253.52
2022-07-26,244.234
2022-07-27,269.165
2022-07-28,277.856
2022-07-29,296.922
2022-07-30,288.798
2022-07-31,286.766
2022-08-01,281.484
2022-08-02,285.148
2022-08-03,302.176
2022-08-04,309.209
2022-08-05,315.56
2022-08-06,319.17
2022-08-07,323.361
2022-08-08,324.339
2022-08-09,325.965
2022-08-10,329.396
2022-08-11,326.553
2022-08-12,324.149
2022-08-13,326.327
2022-08-14,318.896
2022-08-15,318.776
2022-08-16,316.828
2022-08-17,306.522
2022-08-18,303.503
2022-08-19,279.628
2022-08-20,283.094
2022-08-21,300.994
2022-08-22,297.746
2022-08-23,298.406
2022-08-24,297.627
2022-08-25,301.909
2022-08-26,284.529
2022-08-27,274.608
2022-08-28,281.4
2022-08-29,284.32
2022-08-30,281.925
2022-08-31,282.297
2022-09-01,276.783
2022-09-02,276.241
2022-09-03,276.928
2022-09-04,277.8
2022-09-05,275.328
2022-09-06,265.2
2022-09-07,278.819
2022-09-08,280.642
2022-09-09,289.898
2022-09-10,294.756
2022-09-11,291.47
2022-09-12,292.753
2022-09-13,278.306
2022-09-14,279.47
2022-09-15,271.676
2022-09-16,273.973
2022-09-17,277.9
2022-09-18,266.5
2022-09-19,268.927
2022-09-20,266.227
2022-09-21,264.4
2022-09-22,273.4
2022-09-23,274.973
2022-09-24,276.222
2022-09-25,272.4
2022-09-26,274.1
2022-09-27,272.373
2022-09-28,282.1
2022-09-29,282.428
2022-09-30,281.3
2022-10-01,283.2
2022-10-02,285.8
2022-10-03,285.729
2022-10-04,295.789
2022-10-05,292.759
2022-10-06,279.747
2022-10-07,282.84
2022-10-08,276.572
2022-10-09,278.356
2022-10-10,274.973
2022-10-11,270.173
2022-10-12,271.108
2022-10-13,273.022
2022-10-14,268.311
2022-10-15,268.213
2022-10-16,271.311
2022-10-17,274.905
2022-10-18,273.016
2022-10-19,273.4
2022-10-20,269.081
2022-10-21,269.322
2022-10-22,270.324
2022-10-23,275.138
2022-10-24,273.411
2022-10-25,287.492
2022-10-26,289.781
2022-10-27,286.717
2022-10-28,297.659
2022-10-29,304.67
2022-10-30,312.462
2022-10-31,328.48
2022-11-01,325.068
2022-11-02,319.881
2022-11-03,332.5
2022-11-04,352.328
2022-11-05,349.918
2022-11-06,349.124
2022-11-07,332.74
2022-11-08,316.447
2022-11-09,273.327
2022-11-10,306.87
2022-11-11,289.549
2022-11-12,282.491
2022-11-13,276.213
2022-11-14,275.286
2022-11-15,275.324
2022-11-16,271.55
2022-11-17,268.291
2022-11-18,272.986
2022-11-19,272.813
2022-11-20,264.001
2022-11-21,253.693
2022-11-22,266.175
2022-11-23,296.077
2022-11-24,300.345
2022-11-25,299.929
2022-11-26,310.317
2022-11-27,313.699
2022-11-28,292.689
2022-11-29,296.99
2022-11-30,300.712
2022-12-01,292.718
2022-12-02,291.918
2022-12-03,290.629
2022-12-04,291.329
2022-12-05,288.206
2022-12-06,288.894
2022-12-07,284.1
2022-12-08,289.72
2022-12-09,286.009
2022-12-10,287.794
2022-12-11,285.529
2022-12-12,276.725
2022-12-13,271.635
2022-12-14,267.819
2022-12-15,257.251
2022-12-16,230.323
2022-12-17,240.231
2022-12-18,251.233
2022-12-19,240.198
2022-12-20,250.91
2022-12-21,246.512
2022-12-22,245.558
2022-12-23,245.975
2022-12-24,244.483
2022-12-25,242.768
2022-12-26,242.551
2022-12-27,246.104
2022-12-28,243.368
2022-12-29,245.592
2022-12-30,244.977
2022-12-31,246.167
2023-01-01,244.655
2023-01-02,246.051
2023-01-03,245.774
2023-01-04,257.705
2023-01-05,256.81
2023-01-06,259.72
2023-01-07,260.937
2023-01-08,271.767
2023-01-09,273.297
2023-01-10,276.839
2023-01-11,280.275
2023-01-12,287.026
2023-01-13,293.026
2023-01-14,305.215
2023-01-15,302.788
2023-01-16,299.706
2023-01-17,300.73
2023-01-18,290.385
2023-01-19,293.888
2023-01-20,303.255
2023-01-21,301.86
2023-01-22,301.66
2023-01-23,305.746
2023-01-24,302.206
2023-01-25,305.052
2023-01-26,304.524
2023-01-27,307.317
2023-01-28,304.858
2023-01-29,318.116
2023-01-30,306.121
2023-01-31,312.628
2023-02-01,317.119
2023-02-02,326.665
2023-02-03,330.626
2023-02-04,331.026
2023-02-05,328.182
2023-02-06,326.513
2023-02-07,332.523
2023-02-08,327.526
2023-02-09,304.127
2023-02-10,305.246
2023-02-11,310.828
2023-02-12,316.232
2023-02-13,291.557
2023-02-14,296.115
2023-02-15,316.157
2023-02-16,307.605
2023-02-17,313.531
2023-02-18,316.354
2023-02-19,313.069
2023-02-20,313.712
2023-02-21,311.153
2023-02-22,310.8
2023-02-23,308.64
2023-02-24,301.097
2023-02-25,301.621
2023-02-26,308.319
2023-02-27,304.618
2023-02-28,302.751
2023-03-01,302.039
2023-03-02,300.227
2023-03-03,289.22
2023-03-04,288.12
2023-03-05,289.032
2023-03-06,287.783
2023-03-07,287.586
2023-03-08,287.283
2023-03-09,276.225
2023-03-10,277.981
2023-03-11,275.921
2023-03-12,287.312
2023-03-13,310.434
2023-03-14,310.374
2023-03-15,306.884
2023-03-16,331.714
2023-03-17,337.506
2023-03-18,333.193
2023-03-19,339.526
2023-03-20,337.527
2023-03-21,336.47
2023-03-22,322.481
2023-03-23,328.983
2023-03-24,322.057
2023-03-25,322.112
2023-03-26,327.77
2023-03-27,308.745
2023-03-28,313.222
2023-03-29,314.36
2023-03-30,316.989
2023-03-31,316.663
2023-04-01,315.213
2023-04-02,312.994
2023-04-03,305.819
2023-04-04,311.356
2023-04-05,314.613
2023-04-06,312.329
2023-04-07,310.86
2023-04-08,310.771
2023-04-09,312.709
2023-04-10,313.657
2023-04-11,324.821
2023-04-12,320.15
2023-04-13,324.912
2023-04-14,328.973
2023-04-15,332.499
2023-04-16,349.434
2023-04-17,339.8
2023-04-18,342.458
2023-04-19,324.879
2023-04-20,318.125
2023-04-21,319.565
2023-04-22,331.83
2023-04-23,329.716
